ID,casrn,dtxsid,name,countgen,PODgen,PODgen GSD2total,PODgen GSD2final,Prob. RfDgen [mg/kg-d],HDM10%gen [mg/kg-d],HDM10%gen GSD2,countrd,PODrd,PODrd GSD2total,PODrd GSD2final,Prob. RfDrd [mg/kg-d],HDM10%rd [mg/kg-d],HDM10%rd GSD2
8392,NOCAS_A 3:1 mixture of: 1-deoxy-1-[methyl-(1-,NODTXSID_NOCAS_A 3:1 mixture of: 1-deoxy,A 3:1 mixture of: 1-deoxy-1-[methyl-(1-oxododecyl)amino]-D-glucitol; 1-deoxy-1-[methyl-(1-oxotetradecyl)amino]-D-glucitol,1,1.91E+01,17.22,17.22,1.25E-02,5.48E+00,20.29,,,,,,,
8393,"NOCAS_A 3:1 mixture of: perfluoro(5,8,9,12-te",NODTXSID_NOCAS_A 3:1 mixture of: perfluo,"A 3:1 mixture of: perfluoro(5,8,9,12-tetramethyl-4,7,10,13-tetraoxahexadecane); perfluoro(5,6,9,12-tetramethyl-4,7,10,13-tetraoxahexadecane)",,,,,,,,1,2.58E+02,13.94,13.94,1.95E-01,7.39E+01,16.63
8394,"NOCAS_A 9:1 mixture of: sodium 3,3'-(1,4-phen",NODTXSID_NOCAS_A 9:1 mixture of: sodium ,"A 9:1 mixture of: sodium 3,3'-(1,4-phenylenebis(carbonylimino-3,1-propanediylimino))bis(10-amino-6,13-dichloro-4,11-triphenodioxazinedisulfonate); lithium 3,3'-(1,4-phenylenebis-(carbonylimino-3,1-propanediyl-imino))bis(10-amino-6,13-dichloro)-4,11-triphe",2,9.56E+00,8.87,8.87,9.75E-03,2.74E+00,10.95,,,,,,,
8395,"NOCAS_A co-polymer of 2-methyl-1,3-propanedio",NODTXSID_NOCAS_A co-polymer of 2-methyl-,"A co-polymer of 2-methyl-1,3-propanediol, neopentyl glycol, 1,4-butanediol and ethylene glycol with adipic acid and isophthalic acid",4,6.23E+01,5.55,7.97,2.26E-01,1.78E+01,9.93,,,,,,,
8396,NOCAS_A mixture (1:2:1) of: bis(N-cyclohexyl-,NODTXSID_NOCAS_A mixture (1:2:1) of: bis,A mixture (1:2:1) of: bis(N-cyclohexyl-N'-phenyleneureido)methylene; bis(N-octadecyl-N'-phenyleneureido)methylene; bis(N-dicyclohexyl-N'-phenyleneureido)methylene,1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8397,NOCAS_A mixture (50/50) of: tetrasodium 7-(4-,NODTXSID_NOCAS_A mixture (50/50) of: tet,"A mixture (50/50) of: tetrasodium 7-(4-[4-chloro-6-[methyl-(3-sulfonatophenyl)amino]-1,3,5-triazin-2-ylamino]-2-ureidophenylazo)naphthalene-1,3,6-trisulfonate; tetrasodium 7-(4-[4-chloro-6-[methyl-(4-sulfonatophenyl)amino]-1,3,5-triazin-2-ylamino]-2-ureid",1,2.87E+01,17.22,17.22,1.87E-02,8.22E+00,20.29,,,,,,,
8398,NOCAS_A mixture (50:50) of: 2-[2-acetylamino-,NODTXSID_NOCAS_A mixture (50:50) of: 2-[,"A mixture (50:50) of: 2-[2-acetylamino-4-[N,N-bis[2-ethoxycarbonyloxy)ethyl]amino]phenylazo]-5,6-dichloro-1,3-benzothiazole; 2-[2-acetylamino-4-[N,N-bis[2-ethoxycarbonyloxy)ethyl]amino]phenylazo]-6,7-dichloro-1,3-benzotriazole",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8399,NOCAS_A mixture (ratio not known) of: ammoniu,NODTXSID_NOCAS_A mixture (ratio not know,A mixture (ratio not known) of: ammonium 1-C14-C18-alkyloxycarbonyl-2-(3-allyloxy-2-hydroxypropoxycarbonyl)ethane-1-sulfonate; ammonium 2-C14-C18-alkyloxycarbonyl-1-(3-allyloxy-2-hydroxypropoxycarbonyl)ethane-1-sulfonate,1,2.87E+00,17.22,17.22,1.87E-03,8.22E-01,20.29,,,,,,,
8400,"NOCAS_A mixture mainly based on: 2,3-dihydro-",NODTXSID_NOCAS_A mixture mainly based on,"A mixture mainly based on: 2,3-dihydro-6-(2-hydroxy-2-methyl-1-oxopropyl)-1,1,3-trimethyl-3-[4-(2-hydroxy-2-methyl-1-oxopropyl)phenyl]-1H-indene; 2,3-dihydro-5-(2-hydroxy-2-methyl-1-oxopropyl)-1,1,3-trimethyl-3-[4-(2-hydroxy-2-methyl-1-oxopropyl)phenyl]-1",2,1.91E+00,9.56,9.56,1.86E-03,5.48E-01,11.72,,,,,,,
8401,"NOCAS_A mixture of 4 diastereoisomers of 2,7-",NODTXSID_NOCAS_A mixture of 4 diastereoi,"A mixture of 4 diastereoisomers of 2,7-dimethyl-10-(1-methylethyl)-1-oxaspiro[4.5]deca-3,6-diene",1,1.91E+00,17.22,17.22,1.25E-03,5.48E-01,20.29,,,,,,,
8402,NOCAS_A mixture of branched and linear C7-C9,"NODTXSID_NOCAS_A mixture of branched and linear C7-C9 alkyl 3-[3-(2H-benzotriazol-2-yl)-5-(1,1-dimethylethyl)-4-hydroxyphenyl]propionates","A mixture of branched and linear C7-C9 alkyl 3-[3-(2H-benzotriazol-2-yl)-5-(1,1-dimethylethyl)-4-hydroxyphenyl]propionates",5,4.27E+00,4.79,7.97,1.55E-02,1.22E+00,9.93,,,,,,,
8403,NOCAS_A mixture of cis- and trans-cyclohexade,NODTXSID_NOCAS_A mixture of cis- and tra,A mixture of cis- and trans-cyclohexadec-8-en-1-one,1,1.15E+02,17.22,17.22,7.50E-02,3.29E+01,20.29,,,,,,,
8404,"NOCAS_A mixture of complexes of: titanium, 2,",NODTXSID_NOCAS_A mixture of complexes of,"A mixture of complexes of: titanium, 2,2'-oxydiethanol, ammonium lactate, nitrilotris(2-propanol) and ethylene glycol",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,1,3.09E+02,13.94,13.94,2.34E-01,8.86E+01,16.63
8405,NOCAS_A mixture of compounds from (dodecakis(,NODTXSID_NOCAS_A mixture of compounds fr,A mixture of compounds from (dodecakis(p-tolylthio)phthalocyaninato)copper(II) to (hexadecakis(p-tolylthio)phthalocyaninato)copper(II),,,,,,,,1,1.29E+01,13.94,13.94,9.75E-03,3.69E+00,16.63
8406,NOCAS_A mixture of diastereoisomers of 1-(1-h,NODTXSID_NOCAS_A mixture of diastereoiso,A mixture of diastereoisomers of 1-(1-hydroxyethyl)-4-(1-methylethyl)cyclohexane,1,1.91E+00,17.22,17.22,1.25E-03,5.48E-01,20.29,,,,,,,
8407,"NOCAS_A mixture of esters of 5,5',6,6',7,7'-h","NODTXSID_NOCAS_A mixture of esters of 5,","A mixture of esters of 5,5',6,6',7,7'-hexahydroxy-3,3,3',3'-tetramethyl-1,1'-spirobiindan and 2-diazo-1,2-dihydro-1-oxo-5-sulfonaphthalene",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8408,NOCAS_A mixture of isomers of branched tetrac,NODTXSID_NOCAS_A mixture of isomers of b,A mixture of isomers of branched tetracosane,6,3.39E+02,4.21,7.97,1.23E+00,9.72E+01,9.93,3,2.58E+02,5.39,11.77,2.19E-01,7.39E+01,14.20
8409,NOCAS_A mixture of isomers of iron (1:2) comp,NODTXSID_NOCAS_A mixture of isomers of i,"A mixture of isomers of iron (1:2) complexes of a mixture of: isomers of: 1,3-dihydroxy-4-[(5-phenylaminosulfonyl)-2-hydroxyphenylazo]-n-(5-amino-sulfonyl-2-hydroxyphenylazo)benzene (n=2,5,6); isomers of: 1,3-dihydroxy-4-[(5-phenylaminosulfonyl)-2-hydroxy",1,9.56E+00,17.22,17.22,6.25E-03,2.74E+00,20.29,,,,,,,
8410,NOCAS_A mixture of isomers of: 4-(1(or 4 or 5,NODTXSID_NOCAS_A mixture of isomers of: ,"A mixture of isomers of: 4-(1(or 4 or 5 or 6)-methyl-8,9,10-trinorborn-5-en-2-yl)pyridine",5,2.64E+01,4.58,7.97,9.59E-02,7.56E+00,9.93,1,4.12E+01,13.94,13.94,3.12E-02,1.18E+01,16.63
8411,NOCAS_A mixture of n-octadecylaminodiethyl bi,NODTXSID_NOCAS_A mixture of n-octadecyla,A mixture of n-octadecylaminodiethyl bis(hydrogen maleate); n-octadecylaminodiethyl hydrogen maleate hydrogenphthalate,1,2.87E+00,17.22,17.22,1.87E-03,8.22E-01,20.29,,,,,,,
8412,NOCAS_A mixture of RR and RS isomers of: (2-(,NODTXSID_NOCAS_A mixture of RR and RS is,A mixture of RR and RS isomers of: (2-(2-methoxy-1-methyl)ethoxy)-1-methylethyl acetate; (2-(2-methoxy-2-methyl)ethoxy)-1-methylethyl acetate; (2-(2-methoxy-2-methyl)ethoxy)-2-methylethyl acetate; (2-(2-methoxy-1-methyl)ethoxy)-2-methylethyl acetate,5,1.08E+02,4.69,7.97,3.93E-01,3.09E+01,9.93,2,2.58E+02,6.03,11.77,2.19E-01,7.39E+01,14.20
8413,NOCAS_A mixture of substituted dodecyl and/or,NODTXSID_NOCAS_A mixture of substituted ,"A mixture of substituted dodecyl and/or tetradecyl, diphenyl ethers. The substance is produced by the Friedel Crafts reaction. The catalyst is removed from the reaction product. Diphenyl ether is substituted by C1-C10 alkyl groups. The alkyl groups are bo",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8414,"NOCAS_A mixture of: ((Z)-3,7-dimethyl-2,6-oct","NODTXSID_NOCAS_A mixture of: ((Z)-3,7-di","A mixture of: ((Z)-3,7-dimethyl-2,6-octadienyl)oxycarbonylpropanoic acid; di-((E)-3,7-dimethyl-2,6-octadienyl) butandioate; di-((Z)-3,7-dimethyl-2,6-octadienyl) butandioate; (Z)-3,7-dimethyl-2,6-octadienyl butandioate; ((E)-3,7-dimethyl-2,6-octadienyl)oxy",1,1.91E+01,17.22,17.22,1.25E-02,5.48E+00,20.29,,,,,,,
8415,NOCAS_A mixture of: (+/-)-trans-3-ethoxycarbo,NODTXSID_NOCAS_A mixture of: (+/-)-trans,"A mixture of: (+/-)-trans-3-ethoxycarbonyl-4-(4'-fluorophenyl)-N-methylpiperidine-2,6-dione; (+/-)-trans-3-methoxycarbonyl-4-(4'-fluorophenyl)-N-methylpiperidine-2,6-dione",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8416,"NOCAS_A mixture of: (1'-<bf>,3'-<bf>,6'-<bf>-","NODTXSID_NOCAS_A mixture of: (1'-<bf>,3'","A mixture of: (1'-<bf>,3'-<bf>,6'-<bf>-2,2,3',7',7'-pentamethylspiro(1,3-dioxane-5,2'-norcarane); (1'<bf>,3'<df>,6'<bf>)-2,2,3',7',7'-pentamethylspiro(1,3-dioxane-5,2'-norcarane)",,,,,,,,1,2.58E+01,13.94,13.94,1.95E-02,7.39E+00,16.63
8417,NOCAS_A mixture of: (1R)-1-[1-(4-chlorophenyl,NODTXSID_NOCAS_A mixture of: (1R)-1-[1-(,A mixture of: (1R)-1-[1-(4-chlorophenyl)cyclobutyl]-3-methylbutylamine; (1S)-1-[1-(4-chlorophenyl)cyclobutyl]-3-methylbutylamine,1,9.56E-02,17.22,17.22,6.25E-05,2.74E-02,20.29,,,,,,,
8418,NOCAS_A mixture of: (3-methoxy)propylammonium,NODTXSID_NOCAS_A mixture of: (3-methoxy),A mixture of: (3-methoxy)propylammonium/[tris-(2-hydroxyethyl)]ammonium 2-(2-(bis(2-hydroxyethyl)amino)ethoxycarbonylmethyl)hexadec-4-enoate; (3-methoxy)propylammonium/[tris-(2-hydroxyethyl)]ammonium 2-(2-(bis(2-hydroxyethyl)amino)ethoxycarbonylmethyl)tet,1,4.78E+01,17.22,17.22,3.12E-02,1.37E+01,20.29,,,,,,,
8419,"NOCAS_A mixture of: (3R)-[1S-(1<bf>, 2<bf>, 6",NODTXSID_NOCAS_A mixture of: (3R)-[1S-(1,"A mixture of: (3R)-[1S-(1<bf>, 2<bf>, 6 <df>-((2S)-2-methyl-1-oxo-butoxy)-8a<bf>)hexahydro-2,6-dimethyl-1-naphthalene]-3,5-dihydroxyheptanoic acid; inert biomass from aspergillus terreus",1,2.87E+00,17.22,17.22,1.87E-03,8.22E-01,20.29,,,,,,,
8420,"NOCAS_A mixture of: (4aR-cis)-6-benzyl-5,7-di",NODTXSID_NOCAS_A mixture of: (4aR-cis)-6,"A mixture of: (4aR-cis)-6-benzyl-5,7-dioxooctahydropyrrolo[3,4-b]pyridine; (4aS-cis)-6-benzyl-5,7-dioxooctahydropyrrolo[3,4-b]pyridine",1,3.82E+01,17.22,17.22,2.50E-02,1.10E+01,20.29,,,,,,,
8421,NOCAS_A mixture of: (C8-18)alkylbis(2-hydroxy,NODTXSID_NOCAS_A mixture of: (C8-18)alky,A mixture of: (C8-18)alkylbis(2-hydroxyethyl)ammonium-bis(2-ethylhexyl)phosphate; (C8-18)alkylbis(2-hydroxyethyl)ammonium 2-ethylhexylhydrogenphosphate,1,7.17E+00,17.22,17.22,4.69E-03,2.05E+00,20.29,,,,,,,
8422,"NOCAS_A mixture of: (E)-2,12-tridecadiennitri","NODTXSID_NOCAS_A mixture of: (E)-2,12-tr","A mixture of: (E)-2,12-tridecadiennitrile; (E)-3,12-tridecadiennitrile; (Z)-3,12-tridecadiennitrile",1,7.65E+00,17.22,17.22,5.00E-03,2.19E+00,20.29,,,,,,,
8423,NOCAS_A mixture of: (E)-oxacyclohexadec-12-en,NODTXSID_NOCAS_A mixture of: (E)-oxacycl,A mixture of: (E)-oxacyclohexadec-12-en-2-one; (E)-oxacyclohexadec-13-en-2-one; a) (Z)-oxacyclohexadec-(12)-en-2-one and b) (Z)-oxacyclohexadec-(13)-en-2-one,4,1.91E+02,5.17,7.97,6.95E-01,5.48E+01,9.93,2,2.58E+02,7.18,11.77,2.19E-01,7.39E+01,14.20
8424,NOCAS_A mixture of: [1-(methoxymethyl)-2-(C12,NODTXSID_NOCAS_A mixture of: [1-(methoxy,A mixture of: [1-(methoxymethyl)-2-(C12-alkoxy)ethoxy]acetic acid; [1-(methoxymethyl)-2-(C14-alkoxy)ethoxy]acetic acid,1,9.56E+00,17.22,17.22,6.25E-03,2.74E+00,20.29,,,,,,,
8425,NOCAS_A mixture of: <bf>-[3-(3-mercaptopropan,NODTXSID_NOCAS_A mixture of: <bf>-[3-(3-,"A mixture of: <bf>-[3-(3-mercaptopropanoxycarbonylamino)methylphenylaminocarbonyl]-<bf>-[3-(3-mercaptopropanoxycarbonylamino)methylphenylaminocarbonyloxy]-poly-(oxyethylene-co-oxypropylene); 1,2-(or 1,3-)bis[<bf>-(3-mercaptopropanoxycarbonylamino)methylph",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8426,NOCAS_A mixture of: <bf>-3-(3-(2H-benzotriazo,NODTXSID_NOCAS_A mixture of: <bf>-3-(3-(,A mixture of: <bf>-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyl-<bf>-hydroxypoly(oxyethylene); <bf>-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)propionyl-<bf>-3-(3-(2H-benzotriazol-2-yl)-5-tert-butyl-4-hydroxyphenyl)prop,2,9.56E-01,8.08,8.08,1.03E-03,2.74E-01,10.05,9,1.00E+01,3.46,11.77,2.84E-02,2.88E+00,14.20
8427,NOCAS_A mixture of: <bf>-cyano-3-phenoxybenzy,NODTXSID_NOCAS_A mixture of: <bf>-cyano-,"A mixture of: <bf>-cyano-3-phenoxybenzyl (Z)-(1R,3R)-[(S)-3-(2-chloro-3,3,3-trifluoro-prop-1-enyl)]-2,2-dimethylcyclopropanecarboxylate; <bf>-cyano-3-phenoxybenzyl (Z)-(1S,3S)-[(R)-3-(2-chloro-3,3,3-trifluoro-prop-1-enyl)]-2,2-dimethylcyclopropanecarboxyl",1,9.56E-01,17.22,17.22,6.25E-04,2.74E-01,20.29,,,,,,,
8428,"NOCAS_A mixture of: 1-(1'H,1'H,2'H,2'H-tridec","NODTXSID_NOCAS_A mixture of: 1-(1'H,1'H,","A mixture of: 1-(1'H,1'H,2'H,2'H-tridecafluorooctyl) 12-(1''H,1''H,2''H,2''H-tridecafluorooctyl)dodecanedioate; 1-(1'H,1'H,2'H,2'H-tridecafluorooctyl) 12-(1''H,1''H,2''H,2''H-heptdecafluorodecyl)dodecanedioate; 1-(1'H,1'H,2'H,2'H-tridecafluorooctyl) 12-(1",1,2.87E+00,17.22,17.22,1.87E-03,8.22E-01,20.29,,,,,,,
8429,"NOCAS_A mixture of: 1-(2,3,6,7,8,9-hexahydro-","NODTXSID_NOCAS_A mixture of: 1-(2,3,6,7,","A mixture of: 1-(2,3,6,7,8,9-hexahydro-1,1-dimethyl-1H-benz(g)inden-4-yl)ethanone; 1-(2,3,5,6,7,8-hexahydro-1,1-dimethyl-1H-benz(f)inden-4-yl)ethanone; 1-(2,3,6,7,8,9-hexahydro-1,1-dimethyl-1H-benz(g)inden-5-yl)ethanone; 1-(2,3,6,7,8,9-hexahydro-3,3-dimet",,,,,,,,1,3.87E+00,13.94,13.94,2.93E-03,1.11E+00,16.63
8430,NOCAS_A mixture of: 1) a mixture of: a) dicho,NODTXSID_NOCAS_A mixture of: 1) a mixtur,A mixture of: 1) a mixture of: a) dicholest-5-en-3-<df>-yl N-lauroylglutamate; b) 1-(cholest-5-en-3-<df>-yl)-5-(2-octyldodecyl) N-lauroylglutamate; c) 5-(cholest-5-en-3-<df>-yl)-1-(2-octyldodecyl) N-lauroylglutamate; d) 1-(cholest-5-en-3-<df>-yl) 5-docosa,1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8431,"NOCAS_A mixture of: 1,1'-((6-amino-1,3,5-tria","NODTXSID_NOCAS_A mixture of: 1,1'-((6-am","A mixture of: 1,1'-((6-amino-1,3,5-triazine-2,4-diyl)diimino)dipropan-2-ol; 1,1',1''-((1,3,5-triazine-2,4,6-triyl)triimino)tripropan-2-ol",1,2.87E+02,17.22,17.22,1.87E-01,8.22E+01,20.29,,,,,,,
8432,"NOCAS_A mixture of: 1,1'-(methylenebis(4,1-ph","NODTXSID_NOCAS_A mixture of: 1,1'-(methy","A mixture of: 1,1'-(methylenebis(4,1-phenylene))dipyrrole-2,5-dione; N-(4-(4-(2,5-dioxopyrrol-1-yl)benzyl)phenyl)acetamide; 1-(4-(4-(5-oxo-2H-2-furylidenamino)benzyl)phenyl)pyrrole-2,5-dione",1,5.73E+01,17.22,17.22,3.75E-02,1.64E+01,20.29,,,,,,,
8433,"NOCAS_A mixture of: 1,3-dihex-5-en-1-yl-1,1,3","NODTXSID_NOCAS_A mixture of: 1,3-dihex-5","A mixture of: 1,3-dihex-5-en-1-yl-1,1,3,3-tetramethyldisiloxane; 1,3-dihex-x-en-1-yl-1,1,3,3-tetramethyldisiloxane x= 1,2,3 or 4",1,9.56E+01,17.22,17.22,6.25E-02,2.74E+01,20.29,,,,,,,
8434,"NOCAS_A mixture of: 1,4-diamino-2-chloro-3-ph","NODTXSID_NOCAS_A mixture of: 1,4-diamino","A mixture of: 1,4-diamino-2-chloro-3-phenoxyanthraquinone; 1,4-diamino-2,3-bis-phenoxyanthraquinone",1,2.80E+02,17.22,17.22,1.83E-01,8.03E+01,20.29,,,,,,,
8435,"NOCAS_A mixture of: 1,6-bis((3aR,4S,5S (or R)","NODTXSID_NOCAS_A mixture of: 1,6-bis((3a","A mixture of: 1,6-bis((3aR,4S,5S (or R),7S,7aR)-1-(octahydro-4,7-methano-1H-inden-5-yl)methyl) hexan-1,6-dioate; 1,6-bis((3aS,4S,5S (or R),7S,7aS)-1-(octahydro-4,7-methano-1H-inden-5-yl)methyl) hexan-1,6-dioate",1,9.56E+01,17.22,17.22,6.25E-02,2.74E+01,20.29,,,,,,,
8436,NOCAS_A mixture of: 1-deoxy-1-[methyl-(1-oxoh,NODTXSID_NOCAS_A mixture of: 1-deoxy-1-[,A mixture of: 1-deoxy-1-[methyl-(1-oxohexadecyl)amino]-D-glucitol; 1-deoxy-1-[methyl-(1-oxooctadecyl)amino]-D-glucitol,,,,,,,,2,1.15E+02,10.21,11.77,9.78E-02,3.30E+01,14.20
8437,NOCAS_A mixture of: 1-hexyl acetate; 2-methyl,NODTXSID_NOCAS_A mixture of: 1-hexyl ace,A mixture of: 1-hexyl acetate; 2-methyl-1-pentyl acetate; 3-methyl-1-pentyl acetate; 4-methyl-1-pentyl acetate; other mixed linear and branched C6-alkyl acetates,1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8438,NOCAS_A mixture of: 1-methyl-1-(3-(1-methyl e,NODTXSID_NOCAS_A mixture of: 1-methyl-1-,"A mixture of: 1-methyl-1-(3-(1-methyl ethyl)phenyl)ethyl-1-methyl-1-phenylethylperoxide, 63% by weight; 1-methyl-1-(4-(1-methyl ethyl)phenyl)ethyl-1-methyl-1-phenylethylperoxide, 31% by weight",,,,,,,,1,2.58E+00,13.94,13.94,1.95E-03,7.39E-01,16.63
8439,NOCAS_A mixture of: 1-methyl-3-hydroxypropyl,NODTXSID_NOCAS_A mixture of: 1-methyl-3-,"A mixture of: 1-methyl-3-hydroxypropyl 3,5-[1,1-dimethylethyl]-4-hydroxydihydro-cinnamate and/or 3-hydroxybutyl 3,5-[1,1-dimethylethyl]-4-hydroxydihydrocinnamate; 1,3-butanediol bis[3-(3'-(1,1-dimethylethyl)4'-hydroxy-phenyl)propionate] isomers; 1,3-butan",1,2.87E+00,17.22,17.22,1.87E-03,8.22E-01,20.29,,,,,,,
8440,"NOCAS_A mixture of: 2-(9-methyl-1,3,8,10-tetr",NODTXSID_NOCAS_A mixture of: 2-(9-methyl,"A mixture of: 2-(9-methyl-1,3,8,10-tetraoxo-2,3,9,10-tetrahydro-(1H,8H)-anthra[2,1,9-def: 6,5,10-d'e'f']diisoquinolin-2-ylethansulfonic acid; potassium 2-(9-methyl-1,3,8,10-tetraoxo-2,3,9,10-tetrahydro-(1H,8H)-anthra[2,1,9-def: 6,5,10-d'e'f']diisoquinolin",1,4.61E+01,17.22,17.22,3.02E-02,1.32E+01,20.29,,,,,,,
8441,NOCAS_A mixture of: 2-(hexylthio)ethylamine h,NODTXSID_NOCAS_A mixture of: 2-(hexylthi,A mixture of: 2-(hexylthio)ethylamine hydrochloride; sodium propionate,1,1.91E+01,17.22,17.22,1.25E-02,5.48E+00,20.29,,,,,,,
8442,"NOCAS_A mixture of: 2,2',2'',2'''-(ethylenedi","NODTXSID_NOCAS_A mixture of: 2,2',2'',2'","A mixture of: 2,2',2'',2'''-(ethylenedinitrilotetrakis-N,N-di(C16)alkylacetamide; 2,2',2'',2'''-(ethylenedinitrilotetrakis-N,N-di(C18)alkylacetamide",2,6.04E+01,8.54,8.54,6.32E-02,1.73E+01,10.57,1,2.58E+02,13.94,13.94,1.95E-01,7.39E+01,16.63
8443,"NOCAS_A mixture of: 2,2,6,6-tetramethylpiperi","NODTXSID_NOCAS_A mixture of: 2,2,6,6-tet","A mixture of: 2,2,6,6-tetramethylpiperidin-4-yl-hexadecanoate; 2,2,6,6-tetramethylpiperidin-4-yl-octadecanoate",5,1.83E+01,4.86,7.97,6.67E-02,5.26E+00,9.93,13,2.93E+01,2.12,11.77,2.49E-01,8.40E+00,14.20
8444,"NOCAS_A mixture of: 2,2'-[[(2-hydroxyethyl)im","NODTXSID_NOCAS_A mixture of: 2,2'-[[(2-h","A mixture of: 2,2'-[[(2-hydroxyethyl)imino]bis(methylene)bis[4-dodecylphenol]; formaldehyde, oligomer with 4-dodecyl phenol and 2-aminoethanol(n = 2); formaldehyde, oligomer with 4-dodecyl phenol and 2-aminoethanol(n = 3, 4 and higher)",1,1.91E+01,17.22,17.22,1.25E-02,5.48E+00,20.29,,,,,,,
8445,"NOCAS_A mixture of: 2,2'-bis(tert-pentylperox","NODTXSID_NOCAS_A mixture of: 2,2'-bis(te","A mixture of: 2,2'-bis(tert-pentylperoxy)-p-diisopropylbenzene; 2,2'-bis(tert-pentylperoxy)-m-diisopropylbenzene",1,1.91E+00,17.22,17.22,1.25E-03,5.48E-01,20.29,,,,,,,
8446,"NOCAS_A mixture of: 2,2-dimethoxyethanal (thi","NODTXSID_NOCAS_A mixture of: 2,2-dimetho","A mixture of: 2,2-dimethoxyethanal (this component is considered to be anhydrous in terms of identity, structure and composition. However, 2,2-dimethoxyethanal will exist in a hydrated form. 60% anhydrous is equivalent to 70.4% hydrate); water(Including f",1,2.87E+01,17.22,17.22,1.87E-02,8.22E+00,20.29,,,,,,,
8447,"NOCAS_A mixture of: 2,2'-oxybisethanol; 6-(4,","NODTXSID_NOCAS_A mixture of: 2,2'-oxybis","A mixture of: 2,2'-oxybisethanol; 6-(4,6-bis[5-(2-hydroxypropylcarbamoyl)pentylamino)-1,3,5-triazin-2-ylamino)-N-(2-hydroxypropyl)hexamide; 6-(4,6-bis[5-(2-hydroxy-propylcarbamoyl)pentylamino]-1,3,5-triazin-2-ylamino)hexanoic acid",1,9.56E+00,17.22,17.22,6.25E-03,2.74E+00,20.29,,,,,,,
8448,"NOCAS_A mixture of: 2,4 -bis(N'-(4-methylphen","NODTXSID_NOCAS_A mixture of: 2,4 -bis(N'","A mixture of: 2,4 -bis(N'-(4-methylphenyl)ureido)toluene; 2,6 -bis(N'-(4-methylphenyl)ureido)toluene",2,1.91E+02,8.53,8.53,2.00E-01,5.48E+01,10.56,,,,,,,
8449,"NOCAS_A mixture of: 2,4,6-tri(butylcarbamoyl)","NODTXSID_NOCAS_A mixture of: 2,4,6-tri(b","A mixture of: 2,4,6-tri(butylcarbamoyl)-1,3,5-triazine; 2,4,6-tri(methylcarbamoyl)-1,3,5-triazine; [(2-butyl-4,6-dimethyl)tricarbamoyl]-1,3,5-triazine; [(2,4-dibutyl-6-methyl)tricarbamoyl]-1,3,5-triazine",4,1.46E+01,5.18,7.97,5.30E-02,4.17E+00,9.93,,,,,,,
8450,"NOCAS_A mixture of: 2,6,9-trimethyl-2,5,9-cyc","NODTXSID_NOCAS_A mixture of: 2,6,9-trime","A mixture of: 2,6,9-trimethyl-2,5,9-cyclododecatrien-1-ol; 6,9-dimethyl-2-methylen-5,9-cyclododecadien-1-ol",1,1.91E+01,17.22,17.22,1.25E-02,5.48E+00,20.29,,,,,,,
8451,NOCAS_A mixture of: 2-[N-(2-hydroxyethyl)stea,NODTXSID_NOCAS_A mixture of: 2-[N-(2-hyd,"A mixture of: 2-[N-(2-hydroxyethyl)stearamido]ethyl stearate; sodium [bis[2-(stearoyloxy)ethyl]amino]methylsulfonate; sodium [bis(2-hydroxyethyl)amino]methylsulfonate; N,N-bis(2-hydroxyethyl)stearamide",1,1.91E+02,17.22,17.22,1.25E-01,5.48E+01,20.29,,,,,,,
8452,NOCAS_A mixture of: 2-acryloyloxyethyl-hydrog,NODTXSID_NOCAS_A mixture of: 2-acryloylo,"A mixture of: 2-acryloyloxyethyl-hydrogen-cyclohexane-1,2-dicarboxylate; 2-methacryloyloxyethyl hydrogen cyclohexane-1,2-dicarboxylate",1,1.05E+01,17.22,17.22,6.87E-03,3.01E+00,20.29,,,,,,,
8453,NOCAS_A mixture of: 2-chloroethyl and chlorop,NODTXSID_NOCAS_A mixture of: 2-chloroeth,A mixture of: 2-chloroethyl and chloropropyl 2-chloroethylphosphonate; 2-chloroethyl and chloropropyl 2-chloropropylphosphonate,1,9.56E+00,17.22,17.22,6.25E-03,2.74E+00,20.29,,,,,,,
8454,NOCAS_A mixture of: 2-ethylhexyl mono-D-gluco,NODTXSID_NOCAS_A mixture of: 2-ethylhexy,A mixture of: 2-ethylhexyl mono-D-glucopyranoside; 2-ethylhexyl di-D-glucopyranoside,1,2.87E+01,17.22,17.22,1.87E-02,8.22E+00,20.29,5,5.34E+01,4.24,11.77,1.51E-01,1.53E+01,14.20
